date,path_1,path_1_count,path_1_uniques,path_2,path_2_count,path_2_uniques,path_3,path_3_count,path_3_uniques,path_4,path_4_count,path_4_uniques,path_5,path_5_count,path_5_uniques,path_6,path_6_count,path_6_uniques,path_7,path_7_count,path_7_uniques,path_8,path_8_count,path_8_uniques,path_9,path_9_count,path_9_uniques,path_10,path_10_count,path_10_uniques
2026-03-19,/Chocapikk/blog-comments/discussions/1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-19,/Chocapikk/blog-comments/discussions/1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-20,/Chocapikk/blog-comments/discussions/1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-21,/Chocapikk/blog-comments/discussions/1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-22,/Chocapikk/blog-comments/discussions/1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-23,/Chocapikk/blog-comments/discussions/1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-24,/Chocapikk/blog-comments/discussions/1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-25,/Chocapikk/blog-comments/discussions/1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,/Chocapikk/blog-comments/discussions/1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-27,/Chocapikk/blog-comments/discussions/1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-28,/Chocapikk/blog-comments/discussions/1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-29,/Chocapikk/blog-comments/discussions/1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-30,/Chocapikk/blog-comments/discussions/1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-31,/Chocapikk/blog-comments/discussions/1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01,/Chocapikk/blog-comments/discussions/1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-08,/Chocapikk/blog-comments/tags,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-09,/Chocapikk/blog-comments/tags,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-10,/Chocapikk/blog-comments/tags,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-11,/Chocapikk/blog-comments/tags,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-12,/Chocapikk/blog-comments/tags,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,/Chocapikk/blog-comments/tags,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-14,/Chocapikk/blog-comments/tags,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-15,/Chocapikk/blog-comments/tags,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-16,/Chocapikk/blog-comments/tags,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-17,/Chocapikk/blog-comments/tags,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-18,/Chocapikk/blog-comments/tags,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-19,/Chocapikk/blog-comments/tags,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-20,/Chocapikk/blog-comments/tags,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
